,,,Boys,,,,,,,,,Girls
Southern (Wymore),"https://www.maxpreps.com/high-schools/southern-raiders-(wymore,ne)/basketball/rankings.htm",60.8,,="10-11",12133,="4-19",15879,="13-12",12175,="9-7",8202,,="8-15",11120,="9-15",13048,="11-13",12295,="8-8",11713
Spalding Academy (Spalding),"https://www.maxpreps.com/high-schools/spalding-academy-shamrocks-(spalding,ne)/basketball/rankings.htm",145.65,,="16-5",8013,="3-17",16262,="11-9",11734,="4-8",17390,,="9-12",8705,="15-6",4677,="18-4",4080,="6-5",11228
St. Cecilia (Hastings),"https://www.maxpreps.com/high-schools/st-cecilia-bluehawks-(hastings,ne)/basketball/rankings.htm",94.05,,="29-1",550,="22-4",248,="23-6",1066,="11-3",2010,,="23-4",499,="20-6",1006,="17-7",1418,="13-1",382
St. Edward,"https://www.maxpreps.com/high-schools/st-edward-beavers-(st-edward,ne)/basketball/rankings.htm",110.1,,="3-20",18719,="5-14",15648,="7-13",16497,="1-11",18745,,="11-13",9979,="5-14",14506,="1-19",17698,="1-11",17554
St. Francis (Humphrey),"https://www.maxpreps.com/high-schools/st-francis-flyers-(humphrey,ne)/basketball/rankings.htm",105.866666666667,,="23-5",4553,="26-2",1122,="21-7",5550,="12-5",6233,,="21-6",3107,="14-11",6390,="14-13",7852,="16-2",2459
St. Paul,"https://www.maxpreps.com/high-schools/st-paul-wildcats-(st-paul,ne)/basketball/rankings.htm",110.6,,="4-17",12153,="5-16",14846,="10-11",9670,="13-4",3592,,="9-15",7051,="4-18",12651,="16-10",4219,="6-11",10720
Stanton,"https://www.maxpreps.com/high-schools/stanton-mustangs-(stanton,ne)/basketball/rankings.htm",119.616666666667,,="22-4",5644,="18-7",5117,="7-15",13816,="2-15",15767,,="23-2",1469,="19-8",3235,="19-5",2666,="16-1",1357
Sterling,"https://www.maxpreps.com/high-schools/sterling-jets-(sterling,ne)/basketball/rankings.htm",49.1166666666667,,="10-11",13800,="18-6",6427,="15-10",11125,="9-7",10417,,="19-7",3959,="22-4",3243,="5-19",16154,="10-7",9584
Sumner-Eddyville-Miller (Sumner),"https://www.maxpreps.com/high-schools/sumner-eddyville-miller-mustangs-(sumner,ne)/basketball/rankings.htm",144.316666666667,,="6-13",16541,="16-6",7865,="19-2",4428,="3-8",17086,,="6-13",12364,="5-14",15096,="3-16",16851,="3-11",15236
Superior,"https://www.maxpreps.com/high-schools/superior-wildcats-(superior,ne)/basketball/rankings.htm",127.166666666667,,="6-16",16512,="8-15",14457,="7-14",15962,="2-13",17311,,="19-4",3610,="25-4",2952,="19-5",3918,="15-1",1248
Sutton,"https://www.maxpreps.com/high-schools/sutton-mustangs-(sutton,ne)/basketball/rankings.htm",72.05,,="16-10",8926,="12-12",9120,="15-8",5964,="10-5",4132,,="23-6",1930,="17-6",2914,="12-12",7992,="1-15",13854
Syracuse,"https://www.maxpreps.com/high-schools/syracuse-rockets-(syracuse,ne)/basketball/rankings.htm",41.5833333333333,,="8-16",9630,="17-8",3813,="16-9",4231,="8-6",6047,,="7-16",11293,="7-16",12239,="9-15",10262,="8-6",6682
Tekamah-Herman (Tekamah),"https://www.maxpreps.com/high-schools/tekamah-herman-tigers-(tekamah,ne)/basketball/rankings.htm",91.9666666666667,,="3-20",16662,="2-20",16404,="0-19",18263,="0-14",18115,,="15-11",5542,="13-10",5629,="5-18",12700,="6-13",12571
Thayer Central (Hebron),"https://www.maxpreps.com/high-schools/thayer-central-titans-(hebron,ne)/basketball/rankings.htm",90.15,,="9-13",13030,="5-17",15252,="4-18",16631,="3-11",16389,,="0-21",13252,="0-20",15532,="4-17",15125,="5-11",11677
Tri County (DeWitt),"https://www.maxpreps.com/high-schools/tri-county-trojans-(dewitt,ne)/basketball/rankings.htm",54.35,,="8-14",13973,="5-17",15664,="9-14",14539,="11-4",3905,,="8-16",11179,="11-13",10325,="11-13",10284,="7-8",9222
Twin River (Genoa),"https://www.maxpreps.com/high-schools/twin-river-titans-(genoa,ne)/basketball/rankings.htm",95.8166666666667,,="21-8",5527,="20-7",3320,="17-8",5647,="5-11",12467,,="19-7",3766,="13-12",7255,="18-7",4548,="12-5",5143
Wahoo,"https://www.maxpreps.com/high-schools/wahoo-warriors-(wahoo,ne)/basketball/rankings.htm",32.2666666666667,,="19-7",2659,="15-9",3404,="22-6",1234,="13-1",339,,="16-9",3234,="11-14",6203,="17-7",2253,="14-2",827
Wakefield,"https://www.maxpreps.com/high-schools/wakefield-trojans-(wakefield,ne)/basketball/rankings.htm",136.4,,="9-14",14494,="6-16",13547,="14-10",8854,="10-6",7696,,="4-19",10617,="2-20",14399,="6-16",14216,="5-11",13639
Walthill,"https://www.maxpreps.com/high-schools/walthill-blujays-(walthill,ne)/basketball/rankings.htm",109.333333333333,,="15-7",12371,="22-4",3036,="18-4",5766,="11-3",7774,,="3-16",13069,="5-12",14390,="7-11",15696,="7-5",11675
Waverly,"https://www.maxpreps.com/high-schools/waverly-vikings-(waverly,ne)/basketball/rankings.htm",17.15,,="11-11",3696,="10-12",5030,="8-13",5558,="6-8",5054,,="17-8",1529,="18-7",1064,="13-8",2280,="9-6",1982
Wayne,"https://www.maxpreps.com/high-schools/wayne-blue-devils-(wayne,ne)/basketball/rankings.htm",133.9,,="15-10",6084,="8-18",9889,="19-8",3322,="10-8",5131,,="14-10",2842,="16-11",2739,="18-7",2294,="12-7",3905
Weeping Water,"https://www.maxpreps.com/high-schools/weeping-water-indians-(weeping-water,ne)/basketball/rankings.htm",38.7166666666667,,="3-21",16676,="7-17",13937,="3-20",17626,="3-12",16215,,="10-14",10635,="8-16",13928,="15-10",8753,="12-5",6081
West Point-Beemer (West Point),"https://www.maxpreps.com/high-schools/west-point-beemer-cadets-(west-point,ne)/basketball/rankings.htm",91.7666666666667,,="13-12",8764,="9-16",10723,="12-14",8838,="10-6",5112,,="24-4",1471,="22-5",1691,="8-17",9423,="14-4",3022
Wilber-Clatonia (Wilber),"https://www.maxpreps.com/high-schools/wilber-clatonia-wolverines-(wilber,ne)/basketball/rankings.htm",45.4166666666667,,="14-9",8183,="16-7",5554,="6-16",15560,="6-9",13194,,="11-11",9477,="10-12",10933,="8-14",12528,="1-15",15539
Wilcox-Hildreth (Wilcox),"https://www.maxpreps.com/high-schools/wilcox-hildreth-falcons-(wilcox,ne)/basketball/rankings.htm",135.466666666667,,="24-3",7908,="14-9",11066,="15-11",12499,="11-4",6720,,="12-9",9867,="12-14",12523,="5-17",17115,="9-7",10933
Winnebago,"https://www.maxpreps.com/high-schools/winnebago-indians-(winnebago,ne)/basketball/rankings.htm",115.433333333333,,="27-1",506,="31-1",520,="28-3",627,="13-2",806,,="11-9",3842,="8-17",9497,="6-18",13388,="7-8",8848
Winside,"https://www.maxpreps.com/high-schools/winside-wildcats-(winside,ne)/basketball/rankings.htm",149.25,,="0-21",19301,="3-17",16954,="9-12",14410,="10-6",10476,,="2-19",12761,="2-18",14774,="2-19",17081,="1-14",17268
Wisner-Pilger (Wisner),"https://www.maxpreps.com/high-schools/wisner-pilger-gators-(wisner,ne)/basketball/rankings.htm",108.933333333333,,="16-11",7625,="9-15",10797,="12-13",9763,="12-4",3638,,="10-15",7621,="13-10",4669,="9-14",8525,="6-11",10622
Wood River,"https://www.maxpreps.com/high-schools/wood-river-eagles-(wood-river,ne)/basketball/rankings.htm",90.8166666666667,,="21-5",4278,="8-14",13293,="2-18",17875,="6-10",11464,,="9-15",8859,="8-15",10170,="11-11",6667,="12-6",5810
York,"https://www.maxpreps.com/high-schools/york-dukes-(york,ne)/basketball/rankings.htm",47.5666666666667,,="13-12",4782,="17-8",1931,="15-9",2392,="15-0",115,,="22-5",1085,="22-4",909,="23-4",938,="10-5",2531
Yutan,"https://www.maxpreps.com/high-schools/yutan-chieftains-(yutan,ne)/basketball/rankings.htm",47.5333333333333,,="12-13",10255,="15-10",5434,="18-8",4641,="13-1",1834,,="24-3",3041,="21-6",5869,="12-12",10555,="9-7",7578
A-H-S-T (Avoca),"https://www.maxpreps.com/high-schools/a-h-s-t-vikings-(avoca,ia)/basketball/rankings.htm",91.8166666666667,,="10-11",11131, ,,="20-4",4657,="7-4",5388,,="5-12",10539, ,, ,,="4-7",9040
Ar-We-Va (Westside),"https://www.maxpreps.com/high-schools/ar-we-va-rockets-(westside,ia)/basketball/rankings.htm",146.416666666667,,="18-1",7295, ,,="26-1",2753,="9-2",4432,,="7-14",11279,="13-8",8154,="2-20",16862,="8-9",10219
Atlantic,"https://www.maxpreps.com/high-schools/atlantic-trojans-(atlantic,ia)/basketball/rankings.htm",111.983333333333,,="12-10",5069,="22-6",2335,="24-7",3026,="8-7",5326,,="10-14",6127,="13-9",5495,="2-19",15132,="1-12",13565
Audubon,"https://www.maxpreps.com/high-schools/audubon-wheelers-(audubon,ia)/basketball/rankings.htm",126.05,,="8-12",12577,="21-11",6599,="11-11",11216,="8-7",10121,,="14-9",5652,="14-8",6450,="11-11",9238,="1-14",15593
Bedford,"https://www.maxpreps.com/high-schools/bedford-bulldogs-(bedford,ia)/basketball/rankings.htm",136.516666666667,,="14-7",11363,="17-5",5225,="9-14",13745,="12-1",5566,,="19-6",5515,="17-5",6783,="3-20",17103,="2-11-1",16368
Bishop Heelan Catholic (Sioux City),"https://www.maxpreps.com/high-schools/bishop-heelan-catholic-crusaders-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="9-12",4092,="16-12",3318,="17-7",1176,="8-4",1649,,="34-6",850,="11-12",5317,="13-10",3393,="9-4",1619
Boyer Valley (Dunlap),"https://www.maxpreps.com/high-schools/boyer-valley-bulldogs-(dunlap,ia)/basketball/rankings.htm",108.683333333333,,="16-7",12125,="16-7",10237,="14-8",8368,="9-2",3741,,="6-16",11906,="13-10",9042,="17-5",6837,="14-2",4549
CAM (Anita),"https://www.maxpreps.com/high-schools/cam-cougars-(anita,ia)/basketball/rankings.htm",119.866666666667,,="2-18",18994,="3-7",14470,="16-7",7591,="9-2",5666,,="10-12",10208,="11-12",10200,="16-7",9023,="14-3",4879
Clarinda,"https://www.maxpreps.com/high-schools/clarinda-cardinals-(clarinda,ia)/basketball/rankings.htm",114.383333333333,,="1-19",15603,="0-28",15201,="2-20",15922,="5-9",14257,,="6-18",8543,="2-18",13609,="4-19",15083,="3-11",12373
Clarinda Academy (Clarinda),"https://www.maxpreps.com/high-schools/clarinda-academy-eagles-(clarinda,ia)/basketball/rankings.htm",114.383333333333,,="12-11",15289,="5-12",16021,="3-13",18444,="3-10",17058,,="0-17",13476,="2-8",15865, ,, ,
Clarinda/South Page (Clarinda),"https://www.maxpreps.com/high-schools/clarinda-south-page-(clarinda,ia)/basketball/rankings.htm",114.383333333333,, ,, ,,="3-14",15592,="4-5",13323,, ,, ,, ,, ,
Denison-Schleswig (Denison),"https://www.maxpreps.com/high-schools/denison-schleswig-monarchs-(denison,ia)/basketball/rankings.htm",129.6,,="19-5",2775,="6-21",10936,="8-17",9439,="7-6",6938,,="6-17",8176,="7-12",9083,="20-6",4180,="10-4",3530
Earlham,"https://www.maxpreps.com/high-schools/earlham-cardinals-(earlham,ia)/basketball/rankings.htm",147.433333333333,,="23-3",3101,="10-9",11596,="16-6",6533,="6-4",4729,,="5-19",11255,="0-20-1",15367,="8-14",12714,="10-4",5194
East Mills (Malvern),"https://www.maxpreps.com/high-schools/east-mills-(malvern,ia)/basketball/rankings.htm",78.2333333333333,,="14-6",12985,="8-12",14582,="14-7",13244,="7-7",13383,,="7-13",11850,="6-15",13973,="4-10",15760,="5-7",14797
Essex,"https://www.maxpreps.com/high-schools/essex-trojans-(essex,ia)/basketball/rankings.htm",103.65,,="5-13",18221,="11-9",12100,="5-15",17612,="0-12",18544,,="18-8",8135,="18-1",4495,="18-6",9151,="3-11",15666
Exira-EHK (Elk Horn),"https://www.maxpreps.com/high-schools/exira-ehk-spartans-(elk-horn,ia)/basketball/rankings.htm",109.933333333333,,="11-8",15869, ,,="19-7",5919,="8-5",8429,,="23-1",1595,="21-1",2612,="23-2",3147,="14-1",3208
Fremont-Mills (Tabor),"https://www.maxpreps.com/high-schools/fremont-mills-knights-(tabor,ia)/basketball/rankings.htm",81.7,,="18-5",11993,="10-8",10389,="17-6",7866,="9-4",10736,,="24-4",4266,="12-10",9970,="7-15",14098,="9-4",10593
Glenwood,"https://www.maxpreps.com/high-schools/glenwood-rams-(glenwood,ia)/basketball/rankings.htm",69.4166666666667,,="12-13",6879,="22-7",2674,="21-7",2968,="12-1",1498,,="9-17",5766,="12-8",4913,="5-17",13396,="4-10",9633
Griswold,"https://www.maxpreps.com/high-schools/griswold-tigers-(griswold,ia)/basketball/rankings.htm",101.25,,="9-11",11227,="5-16",14755,="0-21",18401,="2-12",16271,,="1-10",11453,="8-13",10943,="6-17",13666,="6-10",11822
Harlan,"https://www.maxpreps.com/high-schools/harlan-cyclones-(harlan,ia)/basketball/rankings.htm",102.733333333333,,="17-7",3161,="28-5",1207,="12-12",5760,="10-2",2019,, ,,="19-3",1259,="10-12",8446,="7-6",4762
Heartland Christian (Council Bluffs),"https://www.maxpreps.com/high-schools/heartland-christian-(council-bluffs,ia)/basketball/rankings.htm",60.9166666666667,,="3-17",18692,="0-10",17779,="2-19",19038,="1-10",18517,,="2-17",13510,="0-20",16487,="2-15",17681,="2-10",17452
Hinton,"https://www.maxpreps.com/high-schools/hinton-blackhawks-(hinton,ia)/basketball/rankings.htm",147.866666666667,,="15-6",5843,="15-9",6963,="19-5",4978,="3-10",16639,,="17-9",3337,="12-10",7883,="11-14",10326,="5-11",12504
IKM/Manning (Manning),"https://www.maxpreps.com/high-schools/ikm-manning-wolves-(manning,ia)/basketball/rankings.htm",138.05,,="21-3",2889,="14-5",5094,="16-7",6965,="7-5",7747,,="24-4",1650,="15-6",4646,="21-5",3355,="12-3",3814
Jefferson (Council Bluffs),"https://www.maxpreps.com/high-schools/jefferson-yellowjackets-(council-bluffs,ia)/basketball/rankings.htm",60.9166666666667,,="2-20",14126,="1-25",13971,="3-23",12051,="3-10",13138,,="4-24",11497,="2-23",13820,="4-19",12517,="10-4",4233
Lawton-Bronson (Lawton),"https://www.maxpreps.com/high-schools/lawton-bronson-eagles-(lawton,ia)/basketball/rankings.htm",144.55,,="14-11",10847,="12-8",7562,="8-17",13977,="5-9",14569,,="15-12",4896,="16-5",2228,="6-18",11650,="4-11",11244
Lenox,"https://www.maxpreps.com/high-schools/lenox-tigers-(lenox,ia)/basketball/rankings.htm",143.3,,="12-10",14855,="19-4",6193,="8-15",14773,="3-11",17212,,="3-18",13067,="4-15",15467,="3-17",17320,="3-11",15359
Lewis Central (Council Bluffs),"https://www.maxpreps.com/high-schools/lewis-central-titans-(council-bluffs,ia)/basketball/rankings.htm",60.9166666666667,,="11-12",4972,="16-12",4442,="18-6",1985,="7-7",5497,,="23-6",1074,="18-2",1258,="24-2",1170,="15-0",326
Lincoln (Council Bluffs),"https://www.maxpreps.com/high-schools/lincoln-lynx-(council-bluffs,ia)/basketball/rankings.htm",60.9166666666667,,="18-4",1344,="28-8",1362,="19-4",692,="8-7",4418,,="6-20",9201,="6-16",10470,="11-12",8413,="8-6",4429
Logan-Magnolia (Logan),"https://www.maxpreps.com/high-schools/logan-magnolia-panthers-(logan,ia)/basketball/rankings.htm",86.7166666666667,,="2-18",16518,="11-13",11904,="14-10",10303,="10-4",6039,,="24-7",3400,="17-5",4281,="21-4",2079,="14-2",1908
Missouri Valley,"https://www.maxpreps.com/high-schools/missouri-valley-big-reds-(missouri-valley,ia)/basketball/rankings.htm",78.1,,="9-12",10784,="6-12",12914,="5-17",16091,="2-12",16595,,="9-13",8382,="2-19",14685,="3-18",14443,="3-13",14851
Nodaway Valley (Greenfield),"https://www.maxpreps.com/high-schools/nodaway-valley-wolverines-(greenfield,ia)/basketball/rankings.htm",144.716666666667,,="19-6",7662,="14-8",6223,="13-8",9277,="7-8",12831,,="20-4",5073,="17-5",5862,="18-5",6533,="12-4",6344
North Mahaska (New Sharon),"https://www.maxpreps.com/high-schools/north-mahaska-warhawks-(new-sharon,ia)/basketball/rankings.htm",127.8,,="5-16",18376,="5-5",13344,="11-10",13882,="2-10",17665,,="4-19",12286,="2-18",16352,="17-7",7428,="16-0",2617
Red Oak,"https://www.maxpreps.com/high-schools/red-oak-tigers-(red-oak,ia)/basketball/rankings.htm",97.2833333333333,,="6-16",13521,="7-21",12358,="2-22",16509,="3-12",15782,,="21-5",1680,="4-17",11831,="18-5",4727,="10-3",2227
Riverside (Oakland),"https://www.maxpreps.com/high-schools/riverside-bulldogs-(oakland,ia)/basketball/rankings.htm",86.2333333333333,,="1-20",17526,="1-17",16707,="4-18",17133,="2-11",16833,,="3-24",12575,="0-20",15617,="2-22",15836,="3-12",15146
Sergeant Bluff-Luton (Sergeant Bluff),"https://www.maxpreps.com/high-schools/sergeant-bluff-luton-warriors-(sergeant-bluff,ia)/basketball/rankings.htm",130.05,,="11-12",5227,="11-11",4308,="18-10",1500,="6-9",6291,,="11-12",5663,="13-9",4421,="13-10",4355,="10-5",1504
Shenandoah,"https://www.maxpreps.com/high-schools/shenandoah-mustangs-(shenandoah,ia)/basketball/rankings.htm",96.6333333333333,,="13-9",7601,="16-12",6713,="9-14",12196,="2-13",16743,,="20-5",1327,="15-8",5002,="20-3",3055,="9-4",3589
Sidney,"https://www.maxpreps.com/high-schools/sidney-cowboys-(sidney,ia)/basketball/rankings.htm",78.3,,="16-6",14119,="12-7",10923,="12-10",13087,="8-5",11154,,="12-9",9829,="18-3",6610,="23-2",4145,="11-3",7761
Sioux Center,"https://www.maxpreps.com/high-schools/sioux-center-warriors-(sioux-center,ia)/basketball/rankings.htm",138.3,,="12-11",5276,="15-8",2040,="16-9",2886,="8-3",1200,,="21-4",1199,="18-5",2888,="26-1",552,="13-2",1682
Sioux City East (Sioux City),"https://www.maxpreps.com/high-schools/sioux-city-east-black-raiders-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="16-7",1776,="17-11",2893,="22-3",307,="12-1",340,,="12-15",3822,="6-18",8900,="8-18",7942,="1-12",10185
Sioux City North (Sioux City),"https://www.maxpreps.com/high-schools/sioux-city-north-stars-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="14-10",939,="14-11",4816,="6-17",7563,="4-10",11333,,="9-23",7900,="5-14",9539,="5-13",9779,="1-14",13192
Sioux City West (Sioux City),"https://www.maxpreps.com/high-schools/sioux-city-west-wolverines-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="8-14",5272,="7-15",7567,="14-10",2710,="7-6",3966,,="13-13",3526,="18-6",2096,="13-10",5779,="11-4",1859
Siouxland Christian (Sioux City),"https://www.maxpreps.com/high-schools/siouxland-christian-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="11-9",14617,="8-8",11855,="20-4",5345,="1-14",18749,,="5-19",12514,="8-12",11543,="15-8",6806,="8-9",10350
Southwest Valley (Corning),"https://www.maxpreps.com/high-schools/southwest-valley-(corning,ia)/basketball/rankings.htm",127.25,,="4-15",17987,="6-14",13746,="15-11",10213,="6-8",13111,,="9-18",9908,="7-14",13356,="10-13",13086,="8-6",9539
St. Albert (Council Bluffs),"https://www.maxpreps.com/high-schools/st-albert-falcons-(council-bluffs,ia)/basketball/rankings.htm",60.9166666666667,,="8-15",7483,="24-12",3480,="10-12",7389,="7-5",5787,,="17-14",3351,="17-4",2637,="13-10",7392,="7-7",7668
Stanton,"https://www.maxpreps.com/high-schools/stanton-vikings-(stanton,ia)/basketball/rankings.htm",106.15,,="11-12",15105,="16-7",8048,="18-4",8813,="10-1",6617,,="10-9",10143,="8-11",12196,="16-6",10065,="7-6",14682
Treynor,"https://www.maxpreps.com/high-schools/treynor-cardinals-(treynor,ia)/basketball/rankings.htm",72.9,,="24-3",1206,="28-5",3905,="13-10",8877,="13-0",1068,,="21-11",4288,="20-2",2341,="28-1",987,="16-1",1366
Tri-Center (Neola),"https://www.maxpreps.com/high-schools/tri-center-trojans-(neola,ia)/basketball/rankings.htm",76.15,,="14-8",8755,="8-11",10562,="12-9",9485,="11-2",4552,,="18-10",5906,="13-8",7074,="9-13",10935,="6-10",12204
Underwood,"https://www.maxpreps.com/high-schools/underwood-eagles-(underwood,ia)/basketball/rankings.htm",72.3,,="13-8",7694,="7-11",11755,="17-4",5344,="8-6",9324,,="9-15",10141,="17-8",6415,="16-9",5608,="12-4",4043
West Central Valley (Stuart),"https://www.maxpreps.com/high-schools/west-central-valley-wildcats-(stuart,ia)/basketball/rankings.htm",138.316666666667,,="2-11",15912,="6-14",14840,="5-18",16759,="2-12",15202,,="12-12",7246,="11-11",9394,="10-15",12016,="7-8",11309
West Harrison (Mondamin),"https://www.maxpreps.com/high-schools/west-harrison-hawkeyes-(mondamin,ia)/basketball/rankings.htm",86.2,,="3-14",19033, ,,="4-18",17076,="1-11",18093,,="0-18",13534,="1-21",15874,="4-16",16849,="3-13",15765
West Monona (Onawa),"https://www.maxpreps.com/high-schools/west-monona-spartans-(onawa,ia)/basketball/rankings.htm",107.166666666667,,="18-5",8084,="9-11",13111,="10-14",15886,="4-9",16734,,="6-19",12247,="10-13",10729,="9-12",10492,="11-4",6573
Westwood (Sloan),"https://www.maxpreps.com/high-schools/westwood-rebels-(sloan,ia)/basketball/rankings.htm",119.383333333333,,="4-19",18170,="10-11",12001,="5-17",17104,="6-7",13872,,="13-14",8083,="16-4",3036,="18-7",4510,="13-4",3106
Whiting,"https://www.maxpreps.com/high-schools/whiting-warriors-(whiting,ia)/basketball/rankings.htm",115.966666666667,,="4-12",18150,="4-11",16357,="0-20",19287,="1-14",19015,,="3-17",13539,="7-14",15298,="9-7",14360,="2-15",17180
Woodbine,"https://www.maxpreps.com/high-schools/woodbine-tigers-(woodbine,ia)/basketball/rankings.htm",97.75,,="2-17",19317, ,,="2-20",17736,="6-7",13705,,="5-17",11761,="4-18",14440,="7-14",14971,="2-12",16796
Woodbury Central (Moville),"https://www.maxpreps.com/high-schools/woodbury-central-wildcats-(moville,ia)/basketball/rankings.htm",149.3,,="10-14",12376,="12-11",8425,="11-11",9948,="6-8",13349,,="12-9",5064,="13-9",5699,="15-9",4978,="14-4",4199